year,month,tick_bites
2017,January,8
2017,February,15
2017,March,20
2017,April,96
2017,May,150
2017,June,138
2017,July,83
2017,August,32
2017,September,17
2017,October,65
2017,November,54
2017,December,13
2018,January,4
2018,February,12
2018,March,15
2018,April,52
2018,May,148
2018,June,115
2018,July,63
2018,August,32
2018,September,19
2018,October,31
2018,November,26
2018,December,7
2019,January,5
2019,February,6
2019,March,14
2019,April,87
2019,May,139
2019,June,126
2019,July,69
2019,August,32
2019,September,20
2019,October,59
2019,November,34
2019,December,9
2020,January,9
2020,February,8
2020,March,25
2020,April,47
2020,May,88
2020,June,82
2020,July,44
2020,August,22
2020,September,14
2020,October,40
2020,November,47
2020,December,9
2021,January,5
2021,February,5
2021,March,30
2021,April,73
2021,May,100
2021,June,100
2021,July,59
2021,August,24
2021,September,15
2021,October,44
2021,November,39
2021,December,10
2022,January,5
2022,February,6
2022,March,24
2022,April,57
2022,May,101
2022,June,92
2022,July,50
2022,August,23
2022,September,15
2022,October,35
2022,November,38
2022,December,8
2023,January,8
2023,February,11
2023,March,19
2023,April,66
2023,May,106
2023,June,99
2023,July,73
2023,August,30
2023,September,17
2023,October,46
2023,November,36
2023,December,11
2024,January,6
2024,February,11
2024,March,32
2024,April,65
2024,May,112
2024,June,89
2024,July,49
2024,August,24
2024,September,15
2024,October,45
2024,November,53
2024,December,8
2025,January,4
2025,February,5
2025,March,26
2025,April,70
2025,May,125
